gene	transcripts	position	strand	chromosome	cage peak ranges
PINK1	all	20959947.0	+	chr1	[(20959928, 20959933), (20959943, 20959992), (20960001, 20960008)]
PINLYP	all	44081343.0	+	chr19	[(44081333, 44081337)]
PINX1	all	10697385.0	-	chr8	[(10697305, 10697312), (10697329, 10697365), (10697370, 10697414)]
PIP	all	142829169.0	+	chr7	[]
PIP4K2A	all	23003483.0	-	chr10	[(23003406, 23003417), (23003436, 23003459), (23003460, 23003562)]
PIP4K2B	all	36956157.0	-	chr17	[(36955980, 36955992), (36956048, 36956083), (36956155, 36956223), (36956334, 36956380)]
PIP4K2C	all	57985020.5	+	chr12	[(57984943, 57984964), (57984965, 57985059), (57985062, 57985063), (57985110, 57985160)]
PIP5K1A	all	151171026.5	+	chr1	[(151170858, 151170884), (151171012, 151171083), (151171148, 151171149)]
PIP5K1B	all	71320615.0	+	chr9	[(71320405, 71320460), (71320557, 71320590), (71320596, 71320633)]
PIP5K1C	all	3700469.0	-	chr19	[(3700447, 3700500)]
PIP5KL1	all	130693075.0	-	chr9	[(130693048, 130693063), (130693086, 130693100)]
PIPOX	all	27369917.0	+	chr17	[(27369814, 27369815), (27370022, 27370051)]
PIR	all	15511574.5	-	chrX	[(15511357, 15511433), (15511438, 15511463), (15511472, 15511477)]
PISD	ENST00000266095.5	32026809.0	-	chr22	[(32026791, 32026806), (32026811, 32026828), (32026856, 32026867)]
PISD	ENST00000382151.2	32024206.0	-	chr22	[]
PITHD1	all	24104894.0	+	chr1	[(24104869, 24104918), (24105090, 24105107)]
PITPNA	all	1466109.0	-	chr17	[(1466030, 1466129)]
PITPNB	all	28315184.5	-	chr22	[(28315208, 28315260)]
PITPNC1	ENST00000335257.6,ENST00000299954.9	65373923.0	+	chr17	[(65373708, 65373740), (65373767, 65373772), (65373781, 65373795), (65373812, 65373836), (65373848, 65373851), (65373892, 65373913), (65373942, 65373953), (65373984, 65373998), (65374034, 65374037), (65374075, 65374129)]
PITPNC1	ENST00000580974.1	65373574.0	+	chr17	[(65373388, 65373464), (65373531, 65373577), (65373708, 65373740), (65373767, 65373772)]
PITPNC1	ENST00000581322.1	65374270.0	+	chr17	[(65374075, 65374129), (65374422, 65374423)]
PITPNM1	ENST00000436757.2,ENST00000356404.3	67272838.5	-	chr11	[(67272779, 67272790), (67272794, 67272855)]
PITPNM1	ENST00000534749.1	67271839.0	-	chr11	[(67271663, 67271664), (67271680, 67271689), (67271691, 67271696), (67271716, 67271719), (67271836, 67271841), (67271845, 67271902), (67271989, 67271992), (67272009, 67272043)]
PITPNM2	ENST00000320201.4	123594974.0	-	chr12	[]
PITPNM2	ENST00000542749.1	123519200.0	-	chr12	[]
PITPNM3	all	6459796.0	-	chr17	[(6459740, 6459744), (6459768, 6459799), (6459802, 6459830), (6459852, 6459855), (6459857, 6459887), (6459964, 6459968)]
PITRM1	all	3215000.0	-	chr10	[(3214965, 3214984), (3215113, 3215133)]
PITX1	ENST00000265340.7	134369987.0	-	chr5	[(134369848, 134369853), (134369879, 134369898), (134369905, 134369972), (134369973, 134369984), (134370033, 134370042)]
PITX1	ENST00000506438.1	134370323.0	-	chr5	[(134370346, 134370371), (134370407, 134370423), (134370460, 134370480), (134370500, 134370507)]
PITX2	all	111544258.0	-	chr4	[(111544219, 111544240), (111544254, 111544270), (111544357, 111544362)]
PITX3	ENST00000370002.3	104001230.0	-	chr10	[(104001139, 104001153), (104001259, 104001274), (104001289, 104001310), (104001343, 104001351)]
PITX3	ENST00000539804.1	103991839.0	-	chr10	[]
PIWIL1	all	130822431.0	+	chr12	[(130822417, 130822439), (130822445, 130822458), (130822467, 130822489), (130822499, 130822514), (130822519, 130822529), (130822606, 130822667)]
PIWIL3	all	25170682.0	-	chr22	[]
PIWIL4	all	94300473.0	+	chr11	[]
PJA1	ENST00000361478.1,ENST00000374571.4	68385499.0	-	chrX	[(68385274, 68385350), (68385354, 68385369)]
PJA1	ENST00000374571.4	68385635.0	-	chrX	[]
PJA1	ENST00000374583.1	68383387.0	-	chrX	[]
PJA1	ENST00000374584.3,ENST00000361478.1	68385321.0	-	chrX	[(68385274, 68385350), (68385354, 68385369)]
PJA2	ENST00000361189.2	108745694.0	-	chr5	[(108745515, 108745519), (108745578, 108745586), (108745603, 108745631), (108745644, 108745650), (108745651, 108745686), (108745689, 108745712), (108745868, 108745872)]
PJA2	ENST00000361557.3	108719225.0	-	chr5	[(108719189, 108719196), (108719217, 108719223)]
PKD1	all	2185898.0	-	chr16	[(2185775, 2185789), (2185948, 2185957)]
PKD1L2	all	81253974.0	-	chr16	[(81253954, 81253956), (81253986, 81254016)]
PKD2	all	88928819.0	+	chr4	[(88928777, 88928822), (88928828, 88928841), (88928875, 88928876), (88928893, 88928902)]
PKD2L1	all	102090242.0	-	chr10	[(102090280, 102090289), (102090308, 102090316), (102090321, 102090326)]
PKD2L2	all	137225154.0	+	chr5	[(137225090, 137225099), (137225128, 137225134), (137225140, 137225154), (137225159, 137225171)]
PKDCC	all	42275159.0	+	chr2	[(42274984, 42274988), (42275153, 42275171), (42275329, 42275340)]
PKHD1	all	51952414.5	-	chr6	[(51952273, 51952274), (51952328, 51952343), (51952347, 51952366), (51952367, 51952416), (51952418, 51952428)]
PKHD1L1	all	110374705.0	+	chr8	[(110374683, 110374759)]
PKIA	ENST00000396418.2,ENST00000352966.5	79428481.0	+	chr8	[(79428305, 79428306), (79428336, 79428380), (79428410, 79428456), (79428539, 79428606), (79428613, 79428622), (79428623, 79428636)]
PKIA	ENST00000518467.1	79503465.0	+	chr8	[]
PKIB	ENST00000354275.2	123038705.0	+	chr6	[(123038643, 123038650), (123038675, 123038680), (123038689, 123038700), (123038724, 123038774), (123038788, 123038797)]
PKIB	ENST00000368452.2,ENST00000368448.1,ENST00000392490.1	122931376.0	+	chr6	[(122931222, 122931224), (122931230, 122931252), (122931313, 122931328), (122931366, 122931383), (122931402, 122931411), (122931536, 122931556), (122931571, 122931582)]
PKIB	ENST00000392491.2	122793075.0	+	chr6	[(122793058, 122793087)]
PKIG	ENST00000349959.3	43242948.0	+	chr20	[]
PKIG	ENST00000372886.1	43211189.0	+	chr20	[(43211105, 43211137), (43211149, 43211266), (43211267, 43211296)]
PKIG	ENST00000372894.3,ENST00000372892.3,ENST00000372891.3,ENST00000372889.1	43160456.0	+	chr20	[(43160409, 43160420), (43160458, 43160598)]
PKLR	all	155270791.0	-	chr1	[(155270716, 155270768), (155270770, 155270797)]
PKM	ENST00000319622.6,ENST00000565184.1,ENST00000335181.5,ENST00000389093.3,ENST00000565154.1	72523544.6	-	chr15	[(72523523, 72523560)]
PKM	ENST00000568459.1	72522062.0	-	chr15	[(72521863, 72521875), (72521911, 72521916), (72521950, 72521984), (72522162, 72522166), (72522245, 72522253)]
PKMYT1	all	3030410.0	-	chr16	[(3030386, 3030400), (3030407, 3030489)]
PKN1	all	14544168.0	+	chr19	[(14544083, 14544090), (14544099, 14544191), (14544196, 14544207), (14544293, 14544302), (14544312, 14544319)]
PKN2	all	89149904.0	+	chr1	[(89149914, 89149995), (89150000, 89150033), (89150040, 89150049)]
PKN3	all	131464801.0	+	chr9	[(131464767, 131464811), (131464816, 131464837), (131464849, 131464866), (131464867, 131464873), (131464884, 131464887), (131464935, 131464967), (131464992, 131465001)]
PKNOX1	all	44394619.0	+	chr21	[(44394416, 44394425), (44394645, 44394737), (44394742, 44394756), (44394780, 44394787), (44394808, 44394816)]
PKNOX2	all	125034601.0	+	chr11	[(125034431, 125034480), (125034586, 125034604), (125034605, 125034636), (125034640, 125034655)]
PKP1	all	201252579.0	+	chr1	[(201252522, 201252533), (201252623, 201252640)]
PKP2	all	33049773.0	-	chr12	[(33049630, 33049647), (33049691, 33049756), (33049822, 33049829), (33049843, 33049881), (33049953, 33049958)]
PKP3	all	394216.0	+	chr11	[(394134, 394141), (394157, 394180), (394187, 394190), (394196, 394258), (394263, 394275)]
PKP4	all	159313623.0	+	chr2	[(159313379, 159313428), (159313434, 159313449), (159313452, 159313498), (159313610, 159313625), (159313631, 159313659), (159313665, 159313684)]
PLA1A	all	119316688.0	+	chr3	[(119316703, 119316710), (119316721, 119316739)]
PLA2G10	all	14788525.0	-	chr16	[]
PLA2G12A	ENST00000243501.5	110651232.0	-	chr4	[(110651079, 110651105), (110651111, 110651141), (110651143, 110651264)]
PLA2G12A	ENST00000502283.1	110651129.0	-	chr4	[(110651079, 110651105), (110651111, 110651141), (110651143, 110651264)]
PLA2G12A	all	110651180.5	-	chr4	[(110651079, 110651105), (110651111, 110651141), (110651143, 110651264)]
PLA2G12B	all	74714535.0	-	chr10	[(74714458, 74714477), (74714487, 74714498), (74714533, 74714580), (74714588, 74714609)]
PLA2G15	all	68279246.0	+	chr16	[(68279241, 68279252), (68279256, 68279309)]
PLA2G16	all	63381890.0	-	chr11	[(63381712, 63381727), (63381737, 63381757), (63381763, 63381783), (63381788, 63381799), (63381823, 63381826), (63381872, 63381895), (63381898, 63381917), (63381925, 63381946), (63382010, 63382020)]
PLA2G1B	all	120765591.0	-	chr12	[]
PLA2G2A	all	20306919.5	-	chr1	[(20306920, 20306936), (20306947, 20306958)]
PLA2G2C	all	20501686.0	-	chr1	[(20501563, 20501566), (20501577, 20501584), (20501612, 20501614), (20501651, 20501653)]
PLA2G2D	all	20446049.0	-	chr1	[]
PLA2G2E	all	20250109.0	-	chr1	[(20250122, 20250123)]
PLA2G2F	all	20465818.0	+	chr1	[(20465805, 20465824), (20465872, 20465881)]
PLA2G3	all	31536592.0	-	chr22	[(31536408, 31536430), (31536432, 31536442), (31536457, 31536474), (31536480, 31536499), (31536501, 31536506)]
PLA2G4A	all	186798084.0	+	chr1	[]
PLA2G4B	all	42120282.0	+	chr15	[(42120283, 42120332)]
PLA2G4C	ENST00000413144.2	48609785.0	-	chr19	[(48609812, 48609813)]
PLA2G4C	ENST00000599111.1,ENST00000354276.3,ENST00000599921.1	48614059.6667	-	chr19	[(48613987, 48613999), (48614033, 48614048), (48614051, 48614062), (48614063, 48614093), (48614095, 48614113), (48614122, 48614129)]
PLA2G4D	all	42386751.0	-	chr15	[(42386758, 42386763)]
PLA2G4E	all	42343387.0	-	chr15	[]
PLA2G4F	all	42448835.5	-	chr15	[(42448777, 42448782), (42448788, 42448849)]
PLA2G5	all	20396700.0	+	chr1	[(20396606, 20396616), (20396625, 20396638), (20396649, 20396705), (20396722, 20396732), (20396736, 20396741), (20396754, 20396760), (20396766, 20396778), (20396810, 20396819), (20396830, 20396846)]
PLA2G6	all	38577808.0	-	chr22	[(38577667, 38577668), (38577691, 38577696), (38577714, 38577730), (38577731, 38577766), (38577782, 38577858)]
PLA2G7	ENST00000274793.7	46703078.0	-	chr6	[(46703069, 46703081), (46703092, 46703156)]
PLA2G7	ENST00000537365.1	46703429.0	-	chr6	[(46703371, 46703381), (46703388, 46703391), (46703395, 46703407), (46703447, 46703465), (46703474, 46703477), (46703482, 46703497), (46703499, 46703507), (46703518, 46703528), (46703585, 46703618)]
PLA2R1	all	160919120.0	-	chr2	[(160918900, 160918935), (160918978, 160919000), (160919007, 160919027), (160919100, 160919111), (160919112, 160919162), (160919315, 160919320)]
PLAA	all	26947460.0	-	chr9	[(26947220, 26947270), (26947285, 26947296), (26947404, 26947418), (26947437, 26947438), (26947453, 26947473), (26947482, 26947493)]
PLAC1	all	133792512.0	-	chrX	[(133792454, 133792461), (133792480, 133792522)]
PLAC8L1	all	145483931.0	-	chr5	[]
PLAG1	all	57123847.5	-	chr8	[(57123744, 57123745), (57123815, 57123867), (57123873, 57123894), (57123898, 57123909)]
PLAGL1	ENST00000354765.2	144306310.0	-	chr6	[]
PLAGL1	ENST00000360537.2	144290114.0	-	chr6	[(144290098, 144290114), (144290140, 144290143)]
PLAGL1	ENST00000367571.1	144282548.0	-	chr6	[]
PLAGL1	ENST00000429150.1,ENST00000392309.1,ENST00000416623.1	144329540.0	-	chr6	[(144329384, 144329405), (144329500, 144329526), (144329531, 144329546)]
PLAGL1	ENST00000444202.1	144385734.0	-	chr6	[(144385698, 144385742), (144385805, 144385834)]
PLAGL2	all	30795593.0	-	chr20	[(30795511, 30795562)]
PLAT	all	42065161.5	-	chr8	[(42065075, 42065090), (42065187, 42065201)]
PLAU	all	75670914.0	+	chr10	[(75670686, 75670716), (75670882, 75670898)]
PLAUR	all	44174501.0	-	chr19	[]
PLB1	all	28718937.0	+	chr2	[]
PLBD1	all	14721282.0	-	chr12	[(14721100, 14721110), (14721173, 14721182), (14721184, 14721191), (14721192, 14721202), (14721206, 14721212), (14721241, 14721248), (14721280, 14721284), (14721288, 14721299)]
PLBD2	all	113796374.0	+	chr12	[(113796410, 113796421), (113796443, 113796454)]
PLCB1	all	8113271.0	+	chr20	[(8113285, 8113290), (8113293, 8113300), (8113305, 8113315), (8113317, 8113330), (8113335, 8113348), (8113363, 8113366), (8113372, 8113375)]
PLCB2	all	40600079.5	-	chr15	[(40599895, 40599916), (40599931, 40599936), (40600028, 40600061), (40600066, 40600089), (40600115, 40600166)]
PLCB3	all	64019006.0	+	chr11	[(64018955, 64019030), (64019031, 64019034), (64019196, 64019209)]
PLCB4	ENST00000278655.4	9198036.0	+	chr20	[]
PLCB4	ENST00000334005.3	9049700.0	+	chr20	[(9049682, 9049710), (9049723, 9049741), (9049742, 9049765), (9049766, 9049777), (9049782, 9049807)]
PLCB4	ENST00000378493.1,ENST00000378501.2	9288446.0	+	chr20	[]
PLCD1	ENST00000334661.4	38071252.0	-	chr3	[(38071108, 38071121), (38071122, 38071141), (38071256, 38071286), (38071314, 38071325)]
PLCD1	ENST00000463876.1	38066277.0	-	chr3	[(38066393, 38066413), (38066454, 38066463)]
PLCD3	all	43209890.0	-	chr17	[(43209673, 43209696), (43209740, 43209764), (43209835, 43209840), (43209862, 43209896), (43209904, 43209916), (43209920, 43209932)]
PLCD4	all	219472564.0	+	chr2	[(219472504, 219472534), (219472540, 219472558), (219472585, 219472600), (219472602, 219472628), (219472637, 219472646)]
PLCE1	ENST00000260766.3	95753745.0	+	chr10	[(95753563, 95753575), (95753586, 95753602), (95753618, 95753630), (95753631, 95753636), (95753644, 95753647), (95753654, 95753713), (95753714, 95753724), (95753806, 95753811), (95753843, 95753868), (95753870, 95753895), (95753903, 95753919), (95753923, 95753932)]
PLCE1	ENST00000371380.3	95790568.0	+	chr10	[]
PLCE1	ENST00000371385.3,ENST00000371375.1	95848840.0	+	chr10	[(95848770, 95848781), (95848791, 95848819), (95848824, 95848838), (95848859, 95848860)]
PLCG1	ENST00000244007.3	39765599.0	+	chr20	[(39765568, 39765580), (39765581, 39765646), (39765678, 39765685)]
PLCG1	ENST00000373271.1,ENST00000373272.2	39765876.0	+	chr20	[(39765678, 39765685), (39765842, 39765883), (39765909, 39765916), (39766057, 39766086)]
PLCG1	all	39765783.6667	+	chr20	[(39765581, 39765646), (39765678, 39765685), (39765842, 39765883), (39765909, 39765916)]
PLCG2	all	81812862.0	+	chr16	[(81812866, 81812877), (81812884, 81812907), (81812917, 81812933)]
PLCH1	ENST00000334686.6	155421996.0	-	chr3	[]
PLCH1	ENST00000414191.1	155394104.0	-	chr3	[(155394099, 155394110), (155394118, 155394139), (155394152, 155394163), (155394242, 155394244), (155394281, 155394288)]
PLCH1	ENST00000447496.2,ENST00000340059.7	155393827.0	-	chr3	[(155393984, 155393991)]
PLCH1	ENST00000460012.1	155462855.0	-	chr3	[(155462707, 155462721), (155462808, 155462883)]
PLCH2	all	2407753.0	+	chr1	[(2407723, 2407740), (2407754, 2407773), (2407790, 2407798)]
PLCL1	all	198669425.0	+	chr2	[(198669308, 198669328), (198669338, 198669358), (198669365, 198669376), (198669572, 198669577)]
PLCL2	ENST00000418129.2	16926451.0	+	chr3	[(16926222, 16926267), (16926280, 16926295), (16926323, 16926324), (16926403, 16926415), (16926441, 16926463), (16926464, 16926475), (16926484, 16926502), (16926507, 16926510)]
PLCL2	ENST00000432376.1	16974581.0	+	chr3	[]
PLCXD2	ENST00000393934.3	111393522.0	+	chr3	[(111393501, 111393538), (111393542, 111393579), (111393587, 111393590), (111393659, 111393670), (111393679, 111393686), (111393703, 111393704)]
PLCXD2	ENST00000477665.1	111393768.0	+	chr3	[(111393542, 111393579), (111393587, 111393590), (111393659, 111393670), (111393679, 111393686), (111393703, 111393704), (111393727, 111393732), (111393814, 111393849), (111393870, 111393875)]
PLCXD2	all	111393645.0	+	chr3	[(111393501, 111393538), (111393542, 111393579), (111393587, 111393590), (111393659, 111393670), (111393679, 111393686), (111393703, 111393704), (111393727, 111393732), (111393814, 111393849)]
PLCXD3	all	41510715.5	-	chr5	[(41510588, 41510598), (41510656, 41510713), (41510725, 41510738), (41510831, 41510834), (41510836, 41510855)]
PLCZ1	all	18890990.0	-	chr12	[]
PLD1	all	171528227.0	-	chr3	[(171528114, 171528140), (171528211, 171528220), (171528227, 171528298), (171528307, 171528316)]
PLD2	all	4710390.0	+	chr17	[(4710303, 4710312), (4710420, 4710500)]
PLD3	ENST00000409281.1	40865548.0	+	chr19	[]
PLD3	ENST00000409419.1,ENST00000409587.1,ENST00000409735.4,ENST00000356508.5	40854594.25	+	chr19	[(40854508, 40854519), (40854559, 40854625), (40854628, 40854639), (40854640, 40854653), (40854693, 40854703)]
PLD4	all	105391159.0	+	chr14	[(105391147, 105391158), (105391172, 105391177), (105391181, 105391241)]
PLD6	all	17109628.0	-	chr17	[(17109515, 17109520), (17109579, 17109683)]
PLEC	all	145025043.0	-	chr8	[(145025046, 145025061), (145025063, 145025073), (145025074, 145025102)]
PLEK	all	68592304.0	+	chr2	[(68592394, 68592405), (68592406, 68592424)]
PLEK2	all	67878916.0	-	chr14	[(67878804, 67878812), (67878829, 67878909), (67878918, 67878936), (67878948, 67878953)]
PLEKHA1	ENST00000368990.3	124134211.0	+	chr10	[(124134056, 124134059), (124134136, 124134153), (124134155, 124134196), (124134201, 124134282)]
PLEKHA1	ENST00000392799.3	124146124.0	+	chr10	[]
PLEKHA1	ENST00000433307.1	124152694.0	+	chr10	[]
PLEKHA2	all	38758752.0	+	chr8	[(38758640, 38758708), (38758710, 38758734), (38758737, 38758763), (38758764, 38758787), (38758788, 38758802), (38758806, 38758831), (38758836, 38758841), (38758845, 38758875)]
PLEKHA3	all	179345194.0	+	chr2	[(179345069, 179345072), (179345073, 179345097), (179345098, 179345107), (179345122, 179345126), (179345130, 179345133), (179345158, 179345168), (179345173, 179345221), (179345232, 179345237), (179345285, 179345290)]
PLEKHA4	all	49371888.0	-	chr19	[(49371732, 49371741), (49371750, 49371755), (49371787, 49371812), (49371815, 49371816), (49371820, 49371839), (49371848, 49371879), (49371905, 49371933)]
PLEKHA5	all	19282701.0	+	chr12	[(19282511, 19282522), (19282623, 19282642), (19282643, 19282710), (19282713, 19282734)]
PLEKHA7	all	17035960.0	-	chr11	[(17035787, 17035804), (17035943, 17035981), (17036092, 17036106)]
PLEKHA8	all	30068028.0	+	chr7	[(30067953, 30067963), (30067973, 30068063), (30068213, 30068216), (30068221, 30068229)]
PLEKHB1	ENST00000227214.6,ENST00000398494.4	73358623.0	+	chr11	[(73358663, 73358687), (73358690, 73358736)]
PLEKHB1	ENST00000354190.5,ENST00000398492.4	73357222.0	+	chr11	[(73357354, 73357380), (73357409, 73357430)]
PLEKHB1	ENST00000535129.1	73359734.0	+	chr11	[(73359836, 73359853)]
PLEKHB2	ENST00000403716.1,ENST00000234115.6	131862467.5	+	chr2	[(131862279, 131862284), (131862332, 131862333), (131862352, 131862374), (131862417, 131862420), (131862530, 131862545)]
PLEKHB2	ENST00000409612.1	131865128.0	+	chr2	[]
PLEKHF1	ENST00000436066.3	30155962.0	+	chr19	[]
PLEKHF1	ENST00000592810.1	30156365.0	+	chr19	[(30156319, 30156330), (30156342, 30156349), (30156351, 30156381), (30156400, 30156411), (30156549, 30156558)]
PLEKHF2	ENST00000315367.3	96146031.0	+	chr8	[(96145942, 96145954), (96145974, 96146041), (96146053, 96146079), (96146086, 96146125), (96146132, 96146155), (96146168, 96146183)]
PLEKHF2	ENST00000519516.1	96146303.0	+	chr8	[(96146086, 96146125), (96146132, 96146155), (96146168, 96146183), (96146471, 96146476)]
PLEKHF2	all	96146167.0	+	chr8	[(96145974, 96146041), (96146053, 96146079), (96146086, 96146125), (96146132, 96146155), (96146168, 96146183)]
PLEKHG2	all	39903224.0	+	chr19	[(39903091, 39903117), (39903185, 39903232), (39903247, 39903289), (39903290, 39903349)]
PLEKHG3	all	65171314.0	+	chr14	[(65171099, 65171210), (65171214, 65171221), (65171322, 65171368)]
PLEKHG4	ENST00000360461.5	67311412.0	+	chr16	[(67311480, 67311489)]
PLEKHG4	ENST00000379344.3	67313426.0	+	chr16	[(67313210, 67313238), (67313394, 67313399), (67313412, 67313464), (67313477, 67313484)]
PLEKHG4	ENST00000427155.2	67313140.0	+	chr16	[(67312938, 67312941), (67312942, 67312950), (67312951, 67312959), (67313052, 67313064), (67313066, 67313104), (67313210, 67313238)]
PLEKHG4	ENST00000427155.2,ENST00000379344.3	67313283.0	+	chr16	[(67313066, 67313104), (67313210, 67313238), (67313394, 67313399), (67313412, 67313464), (67313477, 67313484)]
PLEKHG5	ENST00000340850.5,ENST00000377725.1	6550634.0	-	chr1	[(6550559, 6550570), (6550588, 6550607), (6550625, 6550646), (6550650, 6550666)]
PLEKHG5	ENST00000377728.3	6551759.0	-	chr1	[(6551664, 6551675), (6551720, 6551736), (6551755, 6551770)]
PLEKHG5	ENST00000377732.1	6556755.0	-	chr1	[(6556722, 6556739), (6556828, 6556873)]
PLEKHG5	ENST00000377748.1,ENST00000377740.3,ENST00000377737.2	6580085.33333	-	chr1	[(6580033, 6580038), (6580050, 6580068), (6580099, 6580108), (6580116, 6580142), (6580195, 6580197)]
PLEKHG5	ENST00000400913.1	6546013.0	-	chr1	[(6545976, 6545988), (6546001, 6546019), (6546059, 6546060)]
PLEKHG5	ENST00000400915.3,ENST00000537245.1	6557302.0	-	chr1	[(6557137, 6557160), (6557163, 6557180), (6557218, 6557219), (6557226, 6557272), (6557273, 6557296), (6557301, 6557317), (6557381, 6557384), (6557441, 6557457), (6557463, 6557513)]
PLEKHG5	ENST00000400915.3,ENST00000544978.1	6557466.0	-	chr1	[(6557226, 6557272), (6557273, 6557296), (6557301, 6557317), (6557381, 6557384), (6557441, 6557457), (6557463, 6557513), (6557605, 6557612)]
PLEKHG5	ENST00000535355.1	6545528.0	-	chr1	[(6545502, 6545548)]
PLEKHG6	ENST00000011684.7	6419601.0	+	chr12	[(6419399, 6419407), (6419792, 6419803)]
PLEKHG6	ENST00000396988.3	6420098.0	+	chr12	[(6419877, 6419905), (6420164, 6420189)]
PLEKHH1	all	68000017.0	+	chr14	[(67999779, 67999821), (67999826, 67999846), (67999860, 67999875), (67999876, 67999886), (67999910, 67999926), (67999999, 68000036)]
PLEKHH2	all	43864411.0	+	chr2	[(43864387, 43864472)]
PLEKHH3	all	40828989.5	-	chr17	[(40828870, 40828875), (40828999, 40829024), (40829026, 40829047)]
PLEKHJ1	ENST00000326631.2	2236318.0	-	chr19	[(2236218, 2236224), (2236233, 2236245), (2236246, 2236286), (2236290, 2236336), (2236341, 2236353), (2236399, 2236433)]
PLEKHJ1	ENST00000589097.1	2237702.0	-	chr19	[]
PLEKHM1	all	43568109.0	-	chr17	[(43568062, 43568089), (43568117, 43568146)]
PLEKHM2	all	16010826.0	+	chr1	[(16010779, 16010860), (16010919, 16010936), (16010956, 16010961), (16010970, 16010973)]
PLEKHM3	all	208890283.0	-	chr2	[(208890389, 208890402)]
PLEKHO1	all	150122169.0	+	chr1	[(150122034, 150122137), (150122232, 150122237), (150122257, 150122275), (150122276, 150122403)]
PLEKHO2	all	65134087.0	+	chr15	[(65133920, 65133922), (65134105, 65134122)]
PLEKHS1	ENST00000361048.1	115511212.0	+	chr10	[(115511224, 115511272), (115511295, 115511303), (115511374, 115511376), (115511386, 115511397)]
PLEKHS1	ENST00000369310.3	115524577.0	+	chr10	[]
PLG	all	161123273.0	+	chr6	[]
PLGRKT	all	5437877.0	-	chr9	[(5437756, 5437760), (5437818, 5437903), (5437909, 5437934), (5437941, 5437959), (5437965, 5437975)]
PLIN1	all	90222644.5	-	chr15	[(90222565, 90222582), (90222589, 90222607), (90222610, 90222634), (90222642, 90222653), (90222678, 90222697)]
PLIN2	all	19127573.0	-	chr9	[(19127478, 19127497)]
PLIN3	all	4867742.0	-	chr19	[(4867643, 4867654)]
PLIN4	all	4517715.0	-	chr19	[(4517613, 4517622), (4517914, 4517920)]
PLIN5	all	4535235.0	-	chr19	[(4535233, 4535238), (4535280, 4535304)]
PLK1	all	23690142.0	+	chr16	[(23690092, 23690093), (23690138, 23690158), (23690160, 23690176), (23690184, 23690267)]
PLK1S1	ENST00000423272.1	21225108.0	+	chr20	[]
PLK1S1	ENST00000427692.2,ENST00000424111.2,ENST00000458446.2,ENST00000445992.1,ENST00000246027.8	21106642.0	+	chr20	[(21106622, 21106637), (21106640, 21106651), (21106652, 21106676), (21106678, 21106706), (21106715, 21106735)]
PLK1S1	ENST00000428699.1	21142723.0	+	chr20	[(21142527, 21142531), (21142590, 21142637)]
PLK1S1	ENST00000432487.2	21125965.0	+	chr20	[]
PLK1S1	ENST00000432487.2,ENST00000457464.1,ENST00000447448.1	21126140.0	+	chr20	[]
PLK1S1	ENST00000441136.1	21206777.0	+	chr20	[]
PLK1S1	ENST00000451772.1,ENST00000419359.1	21199098.5	+	chr20	[]
PLK1S1	ENST00000457464.1,ENST00000447448.1	21126227.5	+	chr20	[]
PLK2	all	57756086.0	-	chr5	[(57755903, 57755919), (57756255, 57756262)]
PLK3	all	45265896.0	+	chr1	[(45265816, 45265823), (45266040, 45266056)]
PLK4	all	128802015.0	+	chr4	[(128801962, 128801963), (128802038, 128802095)]
PLLP	all	57318598.0	-	chr16	[(57318384, 57318415), (57318553, 57318564), (57318566, 57318595), (57318770, 57318811)]
PLN	all	118869460.0	+	chr6	[(118869452, 118869475), (118869482, 118869497), (118869507, 118869518)]
PLOD1	all	11994800.0	+	chr1	[(11994660, 11994681), (11994715, 11994833)]
PLOD2	all	145878953.0	-	chr3	[(145878962, 145878979), (145879113, 145879126)]
PLOD3	all	100860953.0	-	chr7	[(100860750, 100860778), (100860833, 100860836), (100860851, 100860897)]
PLP1	ENST00000303958.2	103031777.0	+	chrX	[(103031623, 103031636), (103031758, 103031779), (103031792, 103031809), (103031817, 103031828), (103031829, 103031852)]
PLP1	ENST00000418604.1	103031438.0	+	chrX	[(103031421, 103031439), (103031502, 103031507), (103031534, 103031552), (103031623, 103031636)]
PLP2	all	49028272.0	+	chrX	[(49028196, 49028207), (49028218, 49028233), (49028236, 49028261), (49028265, 49028289)]
PLRG1	ENST00000393905.2	155470137.0	-	chr4	[]
PLRG1	ENST00000499023.2	155471586.0	-	chr4	[(155471528, 155471592)]
PLS1	ENST00000337777.3	142342227.0	+	chr3	[(142342233, 142342236), (142342240, 142342247), (142342260, 142342309)]
PLS1	ENST00000457734.2	142315228.0	+	chr3	[(142315225, 142315290), (142315294, 142315315), (142315396, 142315397)]
PLS1	ENST00000497002.1	142375738.0	+	chr3	[]
PLS3	all	114795554.0	+	chrX	[(114795489, 114795530), (114795743, 114795748)]
PLSCR1	all	146262650.0	-	chr3	[(146262457, 146262460), (146262488, 146262548), (146262618, 146262627), (146262637, 146262660), (146262679, 146262686), (146262753, 146262756)]
PLSCR3	all	7298161.0	-	chr17	[(7298111, 7298116), (7298120, 7298187)]
PLTP	all	44540735.0	-	chr20	[(44540684, 44540692), (44540784, 44540804)]
PLVAP	all	17488158.0	-	chr19	[(17487958, 17487972), (17488014, 17488019), (17488024, 17488029), (17488031, 17488042), (17488048, 17488053), (17488143, 17488161), (17488272, 17488273)]
