gene	transcripts	chromosome	position	strand	annotation source
Mphosph10	ENSMUST00000032735.5	chr7	64392267	-	GENCODE
Mphosph6	ENSMUST00000034303.1	chr8	117801928	-	GENCODE
Mphosph8	ENSMUST00000116468.1	chr14	56668247	+	GENCODE
Mphosph9	ENSMUST00000031344.6,ENSMUST00000184951.1	chr5	124327911	-	GENCODE
Mpi	ENSMUST00000034856.8	chr9	57552762	-	GENCODE
Mpl	ENSMUST00000168404.1	chr4	118457494	-	GENCODE
Mplkip	ENSMUST00000049744.3	chr13	17695412	+	GENCODE
Mpnd	ENSMUST00000149441.1	chr17	56009200	+	GENCODE
Mpo	ENSMUST00000020779.4	chr11	87793580	+	GENCODE
Mpo	ENSMUST00000121303.1	chr11	87794208	+	GENCODE
Mpp1	ENSMUST00000033775.2	chrX	75131015	-	GENCODE
Mpp2	ENSMUST00000017458.4	chr11	102088514	-	GENCODE
Mpp3	ENSMUST00000062801.4	chr11	102026954	-	GENCODE
Mpp3	ENSMUST00000100400.2	chr11	102026093	-	GENCODE
Mpp3	ENSMUST00000107168.1	chr11	102028460	-	GENCODE
Mpp4	ENSMUST00000078874.7,ENSMUST00000066374.7	chr1	59161635	-	GENCODE
Mpp5	ENSMUST00000082024.5	chr12	78748946	+	GENCODE
Mpp6	ENSMUST00000036236.8	chr6	50110248	+	GENCODE
Mpp7	ENSMUST00000115869.2	chr18	7626862	-	GENCODE
Mppe1	ENSMUST00000073054.3	chr18	67245829	-	GENCODE
Mpped1	ENSMUST00000046168.5	chr15	83780022	+	GENCODE
Mpped1	ENSMUST00000109470.1	chr15	83784828	+	GENCODE
Mpped2	ENSMUST00000016530.7	chr2	106695600	+	GENCODE
Mpped2	ENSMUST00000111063.1	chr2	106693268	+	GENCODE
Mprip	ENSMUST00000072031.6	chr11	59662494	+	GENCODE
Mpst	ENSMUST00000043865.6	chr15	78407103	+	GENCODE
Mpst	ENSMUST00000167140.1,ENSMUST00000169133.1	chr15	78406755	+	GENCODE
Mptx1	ENSMUST00000027816.4	chr1	174330517	+	GENCODE
Mptx2	ENSMUST00000111224.3	chr1	173277755	-	GENCODE
Mpv17	ENSMUST00000154241.1,ENSMUST00000141823.1,ENSMUST00000114632.1,ENSMUST00000114631.2	chr5	31154204	-	GENCODE
Mpv17l	ENSMUST00000023360.7	chr16	13940664	+	GENCODE
Mpv17l2	ENSMUST00000038626.8	chr8	70760920	-	GENCODE
Mpz	ENSMUST00000070758.3	chr1	171150710	+	GENCODE
Mpz	ENSMUST00000111334.1	chr1	171155514	+	GENCODE
Mpzl1	ENSMUST00000111435.2	chr1	165634540	-	GENCODE
Mpzl2	ENSMUST00000034600.4	chr9	45042424	+	GENCODE
Mpzl3	ENSMUST00000114663.2	chr9	45055216	+	GENCODE
Mr1	ENSMUST00000027744.8	chr1	155146779	-	GENCODE
Mrap	ENSMUST00000038197.2	chr16	90738323	+	GENCODE
Mrap2	ENSMUST00000179313.1,ENSMUST00000049457.7	chr9	87144305	+	GENCODE
Mras	ENSMUST00000035045.8,ENSMUST00000122384.1	chr9	99436798	-	GENCODE
Mras	ENSMUST00000119472.1	chr9	99425895	-	GENCODE
Mrc1	ENSMUST00000028045.2	chr2	14229413	+	GENCODE
Mrc2	ENSMUST00000100335.3	chr11	105292645	+	GENCODE
Mre11a	ENSMUST00000034405.4	chr9	14784653	+	GENCODE
Mreg	ENSMUST00000048860.7	chr1	72212306	-	GENCODE
Mrfap1	ENSMUST00000068795.3	chr5	36796771	-	GENCODE
Mrgbp	ENSMUST00000029085.8	chr2	180582711	+	GENCODE
Mrgbp	ENSMUST00000169630.1	chr2	180581303	+	GENCODE
Mrgpra1	ENSMUST00000098438.3	chr7	47354239	-	GENCODE
Mrgpra2a	ENSMUST00000159004.1	chr7	47452138	-	GENCODE
Mrgpra2b	ENSMUST00000119798.2	chr7	47489585	-	GENCODE
Mrgpra2b	ENSMUST00000172559.1	chr7	47528861	-	GENCODE
Mrgpra3	ENSMUST00000176369.1	chr7	47601371	-	GENCODE
Mrgpra4	ENSMUST00000087092.2	chr7	47982295	-	GENCODE
Mrgpra6	ENSMUST00000073793.4	chr7	47189415	-	GENCODE
Mrgpra9	ENSMUST00000098436.3	chr7	47252847	-	GENCODE
Mrgprb1	ENSMUST00000094384.3	chr7	48456341	-	GENCODE
Mrgprb2	ENSMUST00000052730.1	chr7	48558085	-	GENCODE
Mrgprb3	ENSMUST00000094383.1	chr7	48643800	-	GENCODE
Mrgprb4	ENSMUST00000094388.1	chr7	48199177	-	GENCODE
Mrgprb5	ENSMUST00000094389.2	chr7	48169013	-	GENCODE
Mrgprb8	ENSMUST00000056676.4	chr7	48388525	+	GENCODE
Mrgprd	ENSMUST00000062163.6	chr7	145314834	+	GENCODE
Mrgpre	ENSMUST00000054048.8	chr7	143784499	-	GENCODE
Mrgprf	ENSMUST00000033386.5	chr7	145300827	+	GENCODE
Mrgprg	ENSMUST00000058092.6	chr7	143766992	-	GENCODE
Mrgprh	ENSMUST00000075296.2	chr17	12876033	+	GENCODE
Mrgprx1	ENSMUST00000094390.1	chr7	48027600	-	GENCODE
Mrgprx2	ENSMUST00000098433.3	chr7	48499269	-	GENCODE
Mrgprx3-ps	ENSMUST00000179005.1	chr7	47310240	-	GENCODE
Mri1	ENSMUST00000126435.1	chr8	84257323	-	GENCODE
Mrm1	ENSMUST00000018549.7	chr11	84819514	-	GENCODE
Mro	ENSMUST00000120033.1,ENSMUST00000179472.1,ENSMUST00000119239.1	chr18	73859390	+	GENCODE
Mroh1	ENSMUST00000092595.4	chr15	76390030	+	GENCODE
Mroh1	ENSMUST00000096385.4	chr15	76380512	+	GENCODE
Mroh2a	ENSMUST00000061013.6,ENSMUST00000113130.1	chr1	88227024	+	GENCODE
Mroh2b	ENSMUST00000045736.7	chr15	4898736	+	GENCODE
Mroh3	ENSMUST00000146112.2	chr1	136190711	-	GENCODE
Mroh3	ENSMUST00000166708.1	chr1	136199597	-	GENCODE
Mroh3	ENSMUST00000168561.1	chr1	136207096	-	GENCODE
Mroh4	ENSMUST00000023271.1	chr15	74636260	-	GENCODE
Mroh5	ENSMUST00000071419.5	chr15	73839670	-	GENCODE
Mroh5	ENSMUST00000110021.2	chr15	73819409	-	GENCODE
Mroh6	ENSMUST00000184858.1	chr15	75888769	-	GENCODE
Mroh7	ENSMUST00000106770.1	chr4	106727929	-	GENCODE
Mroh8	ENSMUST00000143663.1	chr2	157279548	-	GENCODE
Mroh9	ENSMUST00000096608.4	chr1	163085669	-	GENCODE
Mrp63	ENSMUST00000022538.3	chr14	57826238	+	GENCODE
Mrpl1	ENSMUST00000036437.6	chr5	96210114	+	GENCODE
Mrpl1	ENSMUST00000117766.1	chr5	96209492	+	GENCODE
Mrpl10	ENSMUST00000001485.3	chr11	97041559	+	GENCODE
Mrpl11	ENSMUST00000025836.4	chr19	4962305	+	GENCODE
Mrpl12	ENSMUST00000043627.7	chr11	120484612	+	GENCODE
Mrpl13	ENSMUST00000172387.1	chr15	55557747	-	GENCODE
Mrpl14	ENSMUST00000024734.7	chr17	45686321	+	GENCODE
Mrpl15	ENSMUST00000156816.1	chr1	4785738	-	GENCODE
Mrpl16	ENSMUST00000167199.1	chr19	11770414	+	GENCODE
Mrpl17	ENSMUST00000124482.1	chr7	105811098	-	GENCODE
Mrpl18	ENSMUST00000079121.3	chr17	12916344	-	GENCODE
Mrpl19	ENSMUST00000032124.8	chr6	81965957	-	GENCODE
Mrpl2	ENSMUST00000002844.7,ENSMUST00000113430.1	chr17	46646248	+	GENCODE
Mrpl20	ENSMUST00000030942.6	chr4	155803520	+	GENCODE
Mrpl21	ENSMUST00000025743.6	chr19	3283059	+	GENCODE
Mrpl22	ENSMUST00000020820.1	chr11	58171660	+	GENCODE
Mrpl23	ENSMUST00000038675.6	chr7	142533011	+	GENCODE
Mrpl24	ENSMUST00000019854.6,ENSMUST00000119968.1,ENSMUST00000121920.1	chr3	87919524	+	GENCODE
Mrpl24	ENSMUST00000121048.1	chr3	87921608	+	GENCODE
Mrpl27	ENSMUST00000025278.7	chr11	94653766	+	GENCODE
Mrpl28	ENSMUST00000025014.8	chr17	26123519	+	GENCODE
Mrpl3	ENSMUST00000035177.8	chr9	105053238	+	GENCODE
Mrpl30	ENSMUST00000027256.5	chr1	37890476	+	GENCODE
Mrpl32	ENSMUST00000015816.3	chr13	14613036	-	GENCODE
Mrpl33	ENSMUST00000031024.7	chr5	31613938	+	GENCODE
Mrpl34	ENSMUST00000048914.6	chr8	71464925	+	GENCODE
Mrpl35	ENSMUST00000065103.2	chr6	71823809	-	GENCODE
Mrpl36	ENSMUST00000022098.8	chr13	73331008	+	GENCODE
Mrpl37	ENSMUST00000030365.5	chr4	107066867	-	GENCODE
Mrpl38	ENSMUST00000106439.1	chr11	116138867	-	GENCODE
Mrpl39	ENSMUST00000116584.1	chr16	84735741	-	GENCODE
Mrpl4	ENSMUST00000003386.5	chr9	21002736	+	GENCODE
Mrpl40	ENSMUST00000023391.8	chr16	18876766	-	GENCODE
Mrpl41	ENSMUST00000045604.3	chr2	24975097	-	GENCODE
Mrpl42	ENSMUST00000075829.2	chr10	95501926	-	GENCODE
Mrpl43	ENSMUST00000097715.2	chr19	45006441	-	GENCODE
Mrpl44	ENSMUST00000027464.8	chr1	79776017	+	GENCODE
Mrpl45	ENSMUST00000019026.3	chr11	97315715	+	GENCODE
Mrpl46	ENSMUST00000032841.5	chr7	78783065	-	GENCODE
Mrpl47	ENSMUST00000043966.7	chr3	32737146	-	GENCODE
Mrpl48	ENSMUST00000150042.1	chr7	100583101	-	GENCODE
Mrpl49	ENSMUST00000007482.6	chr19	6057750	-	GENCODE
Mrpl50	ENSMUST00000057829.3	chr4	49521092	-	GENCODE
Mrpl51	ENSMUST00000032485.5	chr6	125192164	+	GENCODE
Mrpl52	ENSMUST00000010550.7	chr14	54426908	+	GENCODE
Mrpl53	ENSMUST00000113938.3	chr6	83109094	+	GENCODE
Mrpl54	ENSMUST00000046114.4	chr10	81266933	-	GENCODE
Mrpl55	ENSMUST00000045697.5,ENSMUST00000108785.1	chr11	59202497	+	GENCODE
Mrpl9	ENSMUST00000029786.7	chr3	94443324	+	GENCODE
Mrps10	ENSMUST00000120737.1,ENSMUST00000119945.1	chr17	47368888	+	GENCODE
Mrps11	ENSMUST00000032840.4	chr7	78783118	+	GENCODE
Mrps12	ENSMUST00000171183.1,ENSMUST00000056078.8	chr7	28741794	-	GENCODE
Mrps14	ENSMUST00000135680.1	chr1	160195214	+	GENCODE
Mrps15	ENSMUST00000030675.7	chr4	126046924	+	GENCODE
Mrps16	ENSMUST00000061444.3	chr14	20393554	-	GENCODE
Mrps17	ENSMUST00000119576.1,ENSMUST00000042191.5,ENSMUST00000118420.1,ENSMUST00000121339.1,ENSMUST00000119604.1,ENSMUST00000121813.1,ENSMUST00000119985.1	chr5	129715522	+	GENCODE
Mrps18a	ENSMUST00000024763.3	chr17	46110985	+	GENCODE
Mrps18b	ENSMUST00000025305.9	chr17	35916388	-	GENCODE
Mrps18c	ENSMUST00000016977.8	chr5	100798626	+	GENCODE
Mrps2	ENSMUST00000038600.3	chr2	28468065	+	GENCODE
Mrps21	ENSMUST00000067298.4	chr3	95871518	-	GENCODE
Mrps21	ENSMUST00000072587.4	chr3	95870618	-	GENCODE
Mrps22	ENSMUST00000035034.8	chr9	98601678	-	GENCODE
Mrps23	ENSMUST00000024486.7	chr11	88204387	+	GENCODE
Mrps24	ENSMUST00000154330.1	chr11	5707686	-	GENCODE
Mrps25	ENSMUST00000140438.1	chr6	92184032	-	GENCODE
Mrps26	ENSMUST00000145614.1	chr2	130563741	+	GENCODE
Mrps27	ENSMUST00000052249.5	chr13	99344785	+	GENCODE
Mrps28	ENSMUST00000042148.5	chr3	8923917	-	GENCODE
Mrps30	ENSMUST00000022245.8	chr13	118387251	-	GENCODE
Mrps31	ENSMUST00000033934.3	chr8	22411339	+	GENCODE
Mrps33	ENSMUST00000031978.8	chr6	39810987	-	GENCODE
Mrps34	ENSMUST00000043907.7	chr17	24895115	+	GENCODE
Mrps35	ENSMUST00000036111.7	chr6	147042763	+	GENCODE
Mrps36	ENSMUST00000109333.1	chr13	100744658	-	GENCODE
Mrps36-ps1	ENSMUST00000061311.7	chr17	53867040	-	GENCODE
Mrps5	ENSMUST00000028852.6	chr2	127587221	+	GENCODE
Mrps6	ENSMUST00000047429.8	chr16	92058269	+	GENCODE
Mrps7	ENSMUST00000058109.8	chr11	115603924	+	GENCODE
Mrps9	ENSMUST00000057208.9	chr1	42851232	+	GENCODE
Mrrf	ENSMUST00000028250.2	chr2	36136388	+	GENCODE
Mrs2	ENSMUST00000021772.2	chr13	25020378	-	GENCODE
Mrto4	ENSMUST00000030513.6	chr4	139352297	-	GENCODE
Mrto4	ENSMUST00000102503.3	chr4	139352575	-	GENCODE
Mrvi1	ENSMUST00000005751.6	chr7	110982460	-	GENCODE
Mrvi1	ENSMUST00000125758.1	chr7	110946186	-	GENCODE
Ms4a1	ENSMUST00000169159.1	chr19	11266150	-	GENCODE
Ms4a10	ENSMUST00000072748.6	chr19	10974669	-	GENCODE
Ms4a13	ENSMUST00000073380.6	chr19	11196722	-	GENCODE
Ms4a15	ENSMUST00000087923.2	chr19	10993249	-	GENCODE
Ms4a18	ENSMUST00000177684.1	chr19	11017962	-	GENCODE
Ms4a2	ENSMUST00000164792.1	chr19	11623642	-	GENCODE
Ms4a3	ENSMUST00000112984.2	chr19	11640833	-	GENCODE
Ms4a4b	ENSMUST00000035258.8	chr19	11443572	+	GENCODE
Ms4a4c	ENSMUST00000072729.3	chr19	11407660	+	GENCODE
Ms4a4d	ENSMUST00000025581.6	chr19	11536800	+	GENCODE
Ms4a5	ENSMUST00000067673.6	chr19	11283812	-	GENCODE
Ms4a6b	ENSMUST00000025580.3	chr19	11518558	+	GENCODE
Ms4a6b	ENSMUST00000163078.1	chr19	11516511	+	GENCODE
Ms4a6c	ENSMUST00000165310.1	chr19	11469367	+	GENCODE
Ms4a6d	ENSMUST00000025582.4	chr19	11604848	-	GENCODE
Ms4a7	ENSMUST00000067532.4	chr19	11336143	-	GENCODE
Ms4a8a	ENSMUST00000025636.6	chr19	11081102	-	GENCODE
Msantd1	ENSMUST00000050535.1	chr5	34915914	+	GENCODE
Msantd2	ENSMUST00000048604.6	chr9	37489320	+	GENCODE
Msantd3	ENSMUST00000061135.1,ENSMUST00000064807.2	chr4	48540006	+	GENCODE
Msantd3	ENSMUST00000107704.1	chr4	48540498	+	GENCODE
Msantd4	ENSMUST00000047173.9	chr9	4383534	+	GENCODE
Msc	ENSMUST00000027062.5	chr1	14755965	-	GENCODE
Msgn1	ENSMUST00000049877.1	chr12	11208947	-	GENCODE
Msh2	ENSMUST00000024967.7	chr17	87672329	+	GENCODE
Msh3	ENSMUST00000022220.6	chr13	92355002	-	GENCODE
Msh4	ENSMUST00000005630.4	chr3	153906137	-	GENCODE
Msh5	ENSMUST00000007250.7,ENSMUST00000097338.4	chr17	35046673	-	GENCODE
Msh6	ENSMUST00000005503.3	chr17	87975049	+	GENCODE
Msi1	ENSMUST00000150779.1	chr5	115429598	+	GENCODE
Msi2	ENSMUST00000107909.1	chr11	88718228	-	GENCODE
Msl1	ENSMUST00000037915.2	chr11	98795515	+	GENCODE
Msl1	ENSMUST00000037930.6	chr11	98798653	+	GENCODE
Msl1	ENSMUST00000107487.3	chr11	98795799	+	GENCODE
Msl2	ENSMUST00000085177.3	chr9	101074726	+	GENCODE
Msl3	ENSMUST00000033725.9	chrX	168673897	-	GENCODE
Msl3l2	ENSMUST00000063138.7	chr10	56106916	+	GENCODE
Msln	ENSMUST00000075884.6	chr17	25754326	-	GENCODE
Mslnl	ENSMUST00000047098.5	chr17	25736039	+	GENCODE
Msmb	ENSMUST00000022464.6	chr14	32142025	+	GENCODE
Msmp	ENSMUST00000107884.2	chr4	43584493	-	GENCODE
Msn	ENSMUST00000117399.1	chrX	96096041	+	GENCODE
Msr1	ENSMUST00000026021.6	chr8	39642677	-	GENCODE
Msra	ENSMUST00000067927.7	chr14	64455902	-	GENCODE
Msrb1	ENSMUST00000115262.1,ENSMUST00000101800.5	chr17	24736661	+	GENCODE
Msrb2	ENSMUST00000023856.8	chr2	19371635	+	GENCODE
Msrb3	ENSMUST00000092143.5	chr10	120899100	-	GENCODE
Mss51	ENSMUST00000022353.3	chr14	20496900	-	GENCODE
Mst1	ENSMUST00000035211.7	chr9	108080435	+	GENCODE
Mst1r	ENSMUST00000035203.7	chr9	107906888	+	GENCODE
Mstn	ENSMUST00000027269.5	chr1	53061662	+	GENCODE
Msto1	ENSMUST00000126245.1	chr3	88913998	-	GENCODE
Msx1	ENSMUST00000063116.9	chr5	37824582	-	GENCODE
Msx2	ENSMUST00000021922.8	chr13	53473073	-	GENCODE
Msx3	ENSMUST00000172775.2	chr7	140049139	-	GENCODE
Mt1	ENSMUST00000034215.6	chr8	94179088	+	GENCODE
Mt2	ENSMUST00000034214.6	chr8	94172617	+	GENCODE
Mt3	ENSMUST00000034211.8	chr8	94152606	+	GENCODE
Mt4	ENSMUST00000034207.6	chr8	94137203	+	GENCODE
Mta1	ENSMUST00000009099.6	chr12	113098277	+	GENCODE
Mta2	ENSMUST00000096240.2	chr19	8941874	+	GENCODE
Mta3	ENSMUST00000112350.1,ENSMUST00000112349.2	chr17	83706162	+	GENCODE
Mtap	ENSMUST00000058030.7	chr4	89137121	+	GENCODE
Mtap7d3	ENSMUST00000114766.1	chrX	56822325	-	GENCODE
Mtbp	ENSMUST00000022998.7	chr15	55557407	+	GENCODE
Mtch1	ENSMUST00000118366.1	chr17	29347903	-	GENCODE
Mtch2	ENSMUST00000136872.1	chr2	90847154	+	GENCODE
Mtcp1	ENSMUST00000033542.4,ENSMUST00000114081.1	chrX	75416564	-	GENCODE
Mtdh	ENSMUST00000022865.9	chr15	34082718	+	GENCODE
Mterf	ENSMUST00000044746.4,ENSMUST00000117463.1	chr5	3893919	-	GENCODE
Mterfd1	ENSMUST00000021991.4	chr13	66933087	-	GENCODE
Mterfd2	ENSMUST00000027492.7	chr1	93305914	-	GENCODE
Mterfd3	ENSMUST00000050813.2	chr10	85128026	-	GENCODE
Mtf1	ENSMUST00000030723.2	chr4	124802548	+	GENCODE
Mtf1	ENSMUST00000106193.1	chr4	124802103	+	GENCODE
Mtf2	ENSMUST00000081567.4	chr5	108065741	+	GENCODE
Mtfmt	ENSMUST00000074792.6	chr9	65435781	+	GENCODE
Mtfp1	ENSMUST00000004868.5	chr11	4095444	-	GENCODE
Mtfr1	ENSMUST00000117529.1,ENSMUST00000119865.1	chr3	19187337	+	GENCODE
Mtfr1	ENSMUST00000130645.1	chr3	19188109	+	GENCODE
Mtfr1l	ENSMUST00000102550.3,ENSMUST00000116279.3	chr4	134535326	-	GENCODE
Mtfr2	ENSMUST00000169712.1	chr10	20347818	+	GENCODE
Mtg1	ENSMUST00000036977.8	chr7	140137563	+	GENCODE
Mtg2	ENSMUST00000087563.6	chr2	180078622	+	GENCODE
Mtg2	ENSMUST00000108901.1	chr2	180071792	+	GENCODE
Mthfd1	ENSMUST00000021443.5	chr12	76255231	+	GENCODE
Mthfd1l	ENSMUST00000117291.1,ENSMUST00000120585.1,ENSMUST00000043735.7	chr10	3973130	+	GENCODE
Mthfd2	ENSMUST00000005810.6	chr6	83317605	-	GENCODE
Mthfd2l	ENSMUST00000071652.4	chr5	90931195	+	GENCODE
Mthfr	ENSMUST00000069604.8	chr4	148041190	+	GENCODE
Mthfr	ENSMUST00000097788.4	chr4	148039076	+	GENCODE
Mthfs	ENSMUST00000085256.6	chr9	89211156	+	GENCODE
Mthfsd	ENSMUST00000116415.2	chr8	121108326	-	GENCODE
Mtif2	ENSMUST00000020749.6,ENSMUST00000093239.4	chr11	29526451	+	GENCODE
Mtif3	ENSMUST00000066675.3,ENSMUST00000016654.2,ENSMUST00000110564.1,ENSMUST00000110566.1	chr5	146963778	-	GENCODE
Mtl5	ENSMUST00000025840.9	chr19	3388856	+	GENCODE
Mtm1	ENSMUST00000061970.5,ENSMUST00000033700.5,ENSMUST00000114617.1	chrX	71215041	+	GENCODE
Mtm1	ENSMUST00000171933.1	chrX	71210766	+	GENCODE
Mtmr1	ENSMUST00000114601.1,ENSMUST00000015358.1	chrX	71364759	+	GENCODE
Mtmr10	ENSMUST00000032736.4	chr7	64287669	+	GENCODE
Mtmr11	ENSMUST00000054356.9	chr3	96162003	+	GENCODE
Mtmr12	ENSMUST00000038172.8	chr15	12205027	+	GENCODE
Mtmr14	ENSMUST00000113146.2	chr6	113237842	+	GENCODE
Mtmr14	ENSMUST00000137772.1	chr6	113260624	+	GENCODE
Mtmr2	ENSMUST00000034396.7	chr9	13748409	+	GENCODE
Mtmr3	ENSMUST00000040448.6	chr11	4546267	-	GENCODE
Mtmr3	ENSMUST00000109943.3	chr11	4594814	-	GENCODE
Mtmr4	ENSMUST00000103179.3	chr11	87592161	+	GENCODE
Mtmr4	ENSMUST00000119628.1	chr11	87592896	+	GENCODE
Mtmr6	ENSMUST00000022563.7	chr14	60265204	+	GENCODE
Mtmr7	ENSMUST00000048898.10	chr8	40634775	-	GENCODE
Mtmr9	ENSMUST00000058679.5	chr14	63543952	-	GENCODE
Mtnr1a	ENSMUST00000067984.7	chr8	45069136	+	GENCODE
Mtnr1b	ENSMUST00000057920.6	chr9	15874459	-	GENCODE
Mto1	ENSMUST00000034896.6	chr9	78448207	+	GENCODE
Mtor	ENSMUST00000103221.3	chr4	148448610	+	GENCODE
Mtpap	ENSMUST00000025077.6	chr18	4375591	+	GENCODE
Mtpn	ENSMUST00000031866.5	chr6	35539887	-	GENCODE
Mtr	ENSMUST00000099856.4	chr13	12258112	-	GENCODE
Mtrf1	ENSMUST00000022600.2	chr14	79397771	+	GENCODE
Mtrf1l	ENSMUST00000019908.8	chr10	5823909	-	GENCODE
Mtrr	ENSMUST00000045827.4	chr13	68582120	-	GENCODE
Mtss1	ENSMUST00000080371.6	chr15	59082025	-	GENCODE
Mtss1l	ENSMUST00000052457.8	chr8	110721475	+	GENCODE
Mttp	ENSMUST00000029805.8	chr3	138131376	-	GENCODE
Mtus1	ENSMUST00000059115.6,ENSMUST00000145860.1,ENSMUST00000155055.1	chr8	41133722	-	GENCODE
Mtus1	ENSMUST00000093534.4	chr8	41054793	-	GENCODE
Mtus1	ENSMUST00000118835.1	chr8	41114666	-	GENCODE
Mtus2	ENSMUST00000110515.2	chr5	148265216	+	GENCODE
Mtx1	ENSMUST00000073572.4,ENSMUST00000118964.2	chr3	89214392	-	GENCODE
Mtx2	ENSMUST00000028511.7	chr2	74825802	+	GENCODE
Mtx3	ENSMUST00000076169.3	chr13	92844786	+	GENCODE
Muc1	ENSMUST00000041142.3	chr3	89229056	+	GENCODE
Muc13	ENSMUST00000023520.6	chr16	33794366	+	GENCODE
Muc13	ENSMUST00000115044.1	chr16	33794036	+	GENCODE
Muc15	ENSMUST00000090332.4	chr2	110721647	+	GENCODE
Muc15	ENSMUST00000111016.2	chr2	110721339	+	GENCODE
Muc16	ENSMUST00000034653.6	chr9	18512884	-	GENCODE
Muc19	ENSMUST00000178108.1	chr15	91870470	+	GENCODE
Muc2	ENSMUST00000026590.8	chr7	141746831	+	GENCODE
Muc20	ENSMUST00000041123.8	chr16	32797434	-	GENCODE
Muc3	ENSMUST00000041226.8	chr5	137149319	-	GENCODE
Muc3	ENSMUST00000160533.1	chr5	137142412	-	GENCODE
Muc4	ENSMUST00000096106.3	chr16	32735885	+	GENCODE
Muc5ac	ENSMUST00000163321.1,ENSMUST00000041924.7	chr7	141789010	+	GENCODE
Muc5b	ENSMUST00000165147.1	chr7	141839071	+	GENCODE
Muc6	ENSMUST00000062451.7	chr7	141655318	-	GENCODE
Mucl1	ENSMUST00000078842.7	chr15	103755438	-	GENCODE
Mug1	ENSMUST00000032228.8	chr6	121838540	+	GENCODE
Mug2	ENSMUST00000081777.6	chr6	122006797	+	GENCODE
Mul1	ENSMUST00000044058.4	chr4	138434670	+	GENCODE
Mum1	ENSMUST00000020365.8	chr10	80226433	+	GENCODE
Mum1l1	ENSMUST00000113041.2,ENSMUST00000113042.2	chrX	139217165	+	GENCODE
Mum1l1	ENSMUST00000113043.1,ENSMUST00000113045.2	chrX	139210042	+	GENCODE
Mup1	ENSMUST00000103012.3,ENSMUST00000107499.3	chr4	60501959	-	GENCODE
Mup10	ENSMUST00000098047.2	chr4	60582198	-	GENCODE
Mup11	ENSMUST00000098046.3	chr4	60662410	-	GENCODE
Mup12	ENSMUST00000117932.1	chr4	60741325	-	GENCODE
Mup13	ENSMUST00000098042.3,ENSMUST00000072678.5	chr4	61228277	-	GENCODE
Mup14	ENSMUST00000075206.5,ENSMUST00000071005.8	chr4	61303998	-	GENCODE
Mup15	ENSMUST00000095049.4	chr4	61439742	-	GENCODE
Mup16	ENSMUST00000107483.1,ENSMUST00000095051.5	chr4	61519498	-	GENCODE
Mup17	ENSMUST00000107484.1	chr4	61595870	-	GENCODE
Mup18	ENSMUST00000098040.3	chr4	61674135	-	GENCODE
Mup19	ENSMUST00000080606.2	chr4	61782268	-	GENCODE
Mup2	ENSMUST00000074700.2,ENSMUST00000107490.4	chr4	60139876	-	GENCODE
Mup20	ENSMUST00000074018.3	chr4	62054157	-	GENCODE
Mup21	ENSMUST00000077719.3	chr4	62150862	-	GENCODE
Mup3	ENSMUST00000107472.1,ENSMUST00000084531.4,ENSMUST00000107488.3	chr4	62087296	-	GENCODE
Mup4	ENSMUST00000075973.2	chr4	59960709	-	GENCODE
Mup5	ENSMUST00000082287.2	chr4	61835232	-	GENCODE
Mup6	ENSMUST00000107517.1,ENSMUST00000107520.1	chr4	60003492	+	GENCODE
Mup7	ENSMUST00000166098.1,ENSMUST00000079697.3	chr4	60070442	-	GENCODE
Mup8	ENSMUST00000163931.1,ENSMUST00000095058.4	chr4	60222588	-	GENCODE
Mup9	ENSMUST00000122381.1,ENSMUST00000118759.1,ENSMUST00000107506.2	chr4	60421934	-	GENCODE
Murc	ENSMUST00000030033.4	chr4	48663513	+	GENCODE
Mus81	ENSMUST00000124334.1	chr19	5488401	-	GENCODE
Musk	ENSMUST00000081919.5,ENSMUST00000084578.5	chr4	58285960	+	GENCODE
Mustn1	ENSMUST00000040715.6	chr14	30879256	+	GENCODE
Mut	ENSMUST00000169611.2	chr17	40934684	+	GENCODE
Mutyh	ENSMUST00000102699.1	chr4	116807722	+	GENCODE
Mvb12a	ENSMUST00000034272.7	chr8	71542929	+	GENCODE
Mvb12b	ENSMUST00000041555.3	chr2	33887945	-	GENCODE
Mvd	ENSMUST00000006692.4	chr8	122443421	-	GENCODE
Mvk	ENSMUST00000043760.8	chr5	114444279	+	GENCODE
Mvp	ENSMUST00000165096.2	chr7	127014620	-	GENCODE
Mx1	ENSMUST00000023655.6	chr16	97462905	-	GENCODE
Mx2	ENSMUST00000024112.7	chr16	97536082	+	GENCODE
Mxd1	ENSMUST00000001184.7	chr6	86669158	-	GENCODE
Mxd3	ENSMUST00000021941.7	chr13	55329757	-	GENCODE
Mxd4	ENSMUST00000042701.6	chr5	34187709	-	GENCODE
Mxi1	ENSMUST00000003870.7	chr19	53310505	+	GENCODE
Mxi1	ENSMUST00000025998.7	chr19	53329412	+	GENCODE
Mxra7	ENSMUST00000021170.2,ENSMUST00000047715.5	chr11	116828028	-	GENCODE
Mxra8	ENSMUST00000030947.3	chr4	155839725	+	GENCODE
Myadm	ENSMUST00000096744.5	chr7	3290555	+	GENCODE
Myadm	ENSMUST00000164553.1	chr7	3289037	+	GENCODE
Myadml2	ENSMUST00000026134.2	chr11	120648157	-	GENCODE
Myb	ENSMUST00000020158.6	chr10	21160983	-	GENCODE
