gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
NOBOX	ENST00000223140.5	chr7	-	Annotation	(144100785.0, 144100785.0)	(144100785.0, 144100785.0)
NOBOX	ENST00000483238.1	chr7	-	Annotation	(144107319.0, 144107319.0)	(144107319.0, 144107319.0)
NOC2L	P1P2	chr1	-	CAGE, matched peaks	(894620, 894659)	(894306, 894308)
NOC3L	P1P2	chr10	-	CAGE, matched peaks	(96122682, 96122730)	(96122645, 96122675)
NOC4L	P1P2	chr12	+	CAGE, matched peaks	(132628963, 132629027)	(132628963, 132629027)
NOD1	P1P2	chr7	-	CAGE, matched peaks	(30518304, 30518386)	(30518387, 30518411)
NOD2	P1P2	chr16	+	CAGE, matched peaks	(50727479, 50727546)	(50727479, 50727546)
NODAL	P1P2	chr10	-	CAGE, matched peaks	(72201429, 72201443)	(72201370, 72201379)
NOG	P1P2	chr17	+	CAGE, matched peaks	(54671047, 54671075)	(54671184, 54671198)
NOL10	P1P2	chr2	-	CAGE, matched peaks	(10830094, 10830109)	(10830094, 10830109)
NOL11	P1P2	chr17	+	CAGE, matched peaks	(65714018, 65714067)	(65713925, 65713935)
NOL12	P1P2	chr22	+	CAGE, matched peaks	(38082338, 38082381)	(38082385, 38082412)
NOL3	P1	chr16	+	CAGE, matched peaks	(67204418, 67204453)	(67204418, 67204453)
NOL3	P2	chr16	+	CAGE, matched peaks	(67207838, 67207870)	(67207838, 67207870)
NOL4	P1P2	chr18	-	CAGE, matched peaks	(31802972, 31803021)	(31803218, 31803249)
NOL6	P1P2	chr9	-	CAGE, matched peaks	(33473882, 33473927)	(33473853, 33473873)
NOL7	P1P2	chr6	+	CAGE, matched peaks	(13615554, 13615601)	(13615939, 13615954)
NOL8	P1P2	chr9	-	CAGE, matched peaks	(95087604, 95087658)	(95087859, 95087894)
NOL9	P1P2	chr1	-	CAGE, matched peaks	(6614565, 6614602)	(6614565, 6614602)
NOLC1	P1P2	chr10	+	CAGE, matched peaks	(103912137, 103912159)	(103911926, 103911967)
NOM1	P1P2	chr7	+	CAGE, matched peaks	(156742399, 156742436)	(156742544, 156742548)
NOMO1	P1P2	chr16	+	CAGE, matched peaks	(14927576, 14927578)	(14927576, 14927578)
NOMO2	all	chr16	-	Annotation	(18573532.0, 18573532.0)	(18573532.0, 18573532.0)
NOMO3	P1P2	chr16	+	CAGE, matched peaks	(16326373, 16326388)	(16326373, 16326388)
NONO	P1P2	chrX	+	CAGE, matched peaks	(70503447, 70503517)	(70503529, 70503549)
NOP10	P1P2	chr15	-	CAGE, matched peaks	(34635314, 34635368)	(34635297, 34635308)
NOP14	P1P2	chr4	-	CAGE, matched peaks	(2965052, 2965162)	(2965218, 2965229)
NOP16	P1P2	chr5	-	CAGE, matched peaks	(175815565, 175815615)	(175816032, 175816056)
NOP2	P1P2	chr12	-	CAGE, matched peaks	(6677422, 6677495)	(6677422, 6677495)
NOP56	P1P2	chr20	+	CAGE, matched peaks	(2633269, 2633287)	(2633232, 2633252)
NOP58	P1P2	chr2	+	CAGE, matched peaks	(203130444, 203130502)	(203130444, 203130502)
NOP9	P1P2	chr14	+	CAGE, matched peaks	(24769043, 24769110)	(24769114, 24769121)
NOS1	all	chr12	-	CAGE, robust peak	(117799566, 117799609)	(117799378, 117799392)
NOS1AP	P1P2	chr1	+	CAGE, matched peaks	(162039465, 162039548)	(162039558, 162039587)
NOS2	P1P2	chr17	-	CAGE, matched peaks	(26127550, 26127556)	(26127550, 26127556)
NOS3	P1P2	chr7	+	CAGE, matched peaks	(150690857, 150690878)	(150690837, 150690856)
NOSIP	P1P2	chr19	-	CAGE, matched peaks	(50083803, 50083821)	(50083803, 50083821)
NOSTRIN	P1P2	chr2	+	CAGE, matched peaks	(169659121, 169659153)	(169659075, 169659113)
NOTCH1	P1	chr9	-	CAGE, matched peaks	(139440490, 139440506)	(139440490, 139440506)
NOTCH1	P2	chr9	-	CAGE, matched peaks	(139418377, 139418423)	(139418377, 139418423)
NOTCH2	P1P2	chr1	-	CAGE, matched peaks	(120612261, 120612288)	(120612017, 120612048)
NOTCH2NL	P1P2	chr1	+	CAGE, matched peaks	(145209092, 145209163)	(145209092, 145209163)
NOTCH3	P1P2	chr19	-	CAGE, matched peaks	(15311796, 15311815)	(15311963, 15312000)
NOTCH4	P1	chr6	-	CAGE, matched peaks	(32191834, 32191863)	(32191834, 32191863)
NOTCH4	P2	chr6	-	CAGE, matched peaks	(32164161, 32164208)	(32164161, 32164208)
NOTO	P1P2	chr2	+	CAGE, matched peaks	(73429698, 73429707)	(73429698, 73429707)
NOTUM	P1P2	chr17	-	CAGE, matched peaks	(79919053, 79919070)	(79919029, 79919040)
NOV	P1P2	chr8	+	CAGE, matched peaks	(120428678, 120428695)	(120428600, 120428642)
NOVA1	P1P2	chr14	-	CAGE, matched peaks	(27067231, 27067247)	(27067231, 27067247)
NOVA2	P1P2	chr19	-	CAGE, matched peaks	(46476791, 46476819)	(46476654, 46476725)
NOX1	P1P2	chrX	-	CAGE, matched peaks	(100129283, 100129294)	(100129340, 100129353)
NOX4	P1P2	chr11	-	CAGE, matched peaks	(89224508, 89224563)	(89224667, 89224681)
NOX5	P1P2	chr15	+	CAGE, matched peaks	(69222827, 69222904)	(69222909, 69222922)
NOXA1	P1P2	chr9	+	CAGE, matched peaks	(140317828, 140317894)	(140317940, 140317977)
NOXO1	P1P2	chr16	-	CAGE, matched peaks	(2031464, 2031475)	(2031433, 2031447)
NOXRED1	P1P2	chr14	-	CAGE, matched peaks	(77889860, 77889878)	(77889860, 77889878)
NPAP1	P1P2	chr15	+	CAGE, matched peaks	(24920916, 24920926)	(24920916, 24920926)
NPAS1	P1P2	chr19	+	CAGE, matched peaks	(47523058, 47523114)	(47523058, 47523114)
NPAS2	P1P2	chr2	+	CAGE, matched peaks	(101436564, 101436647)	(101436564, 101436647)
NPAS3	P1P2	chr14	+	CAGE, matched peaks	(33403881, 33403924)	(33403881, 33403924)
NPAS4	P1P2	chr11	+	CAGE, matched peaks	(66188503, 66188511)	(66188382, 66188385)
NPAT	P1P2	chr11	-	CAGE, matched peaks	(108093329, 108093375)	(108093381, 108093390)
NPB	P1P2	chr17	+	CAGE, matched peaks	(79860053, 79860090)	(79860107, 79860120)
NPC1	P1P2	chr18	-	CAGE, matched peaks	(21166386, 21166479)	(21166865, 21166956)
NPC1L1	P1P2	chr7	-	CAGE, matched peaks	(44580861, 44580912)	(44580918, 44580934)
NPC2	P1P2	chr14	-	CAGE, matched peaks	(74959995, 74960020)	(74960030, 74960050)
NPDC1	P1P2	chr9	-	CAGE, matched peaks	(139940608, 139940686)	(139940480, 139940605)
NPEPL1	P1P2	chr20	+	CAGE, matched peaks	(57267914, 57267956)	(57267823, 57267909)
NPEPPS	P1P2	chr17	+	CAGE, matched peaks	(45608455, 45608490)	(45608551, 45608585)
NPFF	P1P2	chr12	-	CAGE, matched peaks	(53901266, 53901269)	(53901266, 53901269)
NPHP1	P1P2	chr2	-	CAGE, matched peaks	(110962544, 110962608)	(110962531, 110962542)
NPHP3	P1P2	chr3	-	CAGE, matched peaks	(132441209, 132441286)	(132441355, 132441366)
NPHP4	P1P2	chr1	-	CAGE, matched peaks	(6052463, 6052542)	(6052426, 6052437)
NPHS1	P1	chr19	-	CAGE, matched peaks	(36343357, 36343389)	(36343357, 36343389)
NPHS1	P2	chr19	-	CAGE, matched peaks	(36336374, 36336378)	(36336374, 36336378)
NPHS2	P1P2	chr1	-	CAGE, matched peaks	(179545059, 179545089)	(179544797, 179544836)
NPIPA1	all	chr16	+	Annotation	(15031299.0, 15031299.0)	(15031299.0, 15031299.0)
NPIPB5	ENST00000424340.1	chr16	+	Annotation	(22524843.0, 22524843.0)	(22524843.0, 22524843.0)
NPIPB5	ENST00000517539.1	chr16	+	Annotation	(22524894.0, 22524894.0)	(22524894.0, 22524894.0)
NPIPB5	all	chr16	+	Annotation	(22524868.5, 22524868.5)	(22524868.5, 22524868.5)
NPL	P1P2	chr1	+	CAGE, matched peaks	(182758900, 182758918)	(182758633, 182758658)
NPLOC4	P1P2	chr17	-	CAGE, matched peaks	(79604075, 79604145)	(79604075, 79604145)
NPM1	P1P2	chr5	+	CAGE, matched peaks	(170814846, 170814864)	(170814636, 170814674)
NPM2	P1P2	chr8	+	CAGE, matched peaks	(21881661, 21881729)	(21881639, 21881651)
NPM3	P1P2	chr10	-	CAGE, matched peaks	(103543145, 103543177)	(103543068, 103543081)
NPNT	P1P2	chr4	+	CAGE, matched peaks	(106816615, 106816642)	(106816644, 106816670)
NPPB	P1P2	chr1	-	CAGE, matched peaks	(11918990, 11919013)	(11919027, 11919058)
NPR1	P1P2	chr1	+	CAGE, matched peaks	(153651078, 153651140)	(153651156, 153651171)
NPR2	P1P2	chr9	+	CAGE, matched peaks	(35791710, 35791741)	(35791710, 35791741)
NPR3	P1P2	chr5	+	CAGE, matched peaks	(32711419, 32711435)	(32710736, 32710788)
NPRL2	P1P2	chr3	-	CAGE, matched peaks	(50388141, 50388245)	(50388445, 50388495)
NPRL3	P1P2	chr16	-	CAGE, matched peaks	(188624, 188679)	(188600, 188616)
NPSR1	P1P2	chr7	+	CAGE, matched peaks	(34697812, 34697844)	(34697846, 34697874)
NPTN	P1P2	chr15	-	CAGE, matched peaks	(73925651, 73925773)	(73925575, 73925594)
NPTX1	P1P2	chr17	-	CAGE, matched peaks	(78450398, 78450413)	(78450398, 78450413)
NPTX2	P1P2	chr7	+	CAGE, matched peaks	(98246588, 98246604)	(98246983, 98246995)
NPTXR	P1P2	chr22	-	CAGE, matched peaks	(39240025, 39240041)	(39240025, 39240041)
NPW	P1P2	chr16	+	CAGE, matched peaks	(2069778, 2069797)	(2069744, 2069766)
NPY	P1	chr7	+	CAGE, matched peaks	(24323800, 24323815)	(24323800, 24323815)
NPY	P2	chr7	+	CAGE, matched peaks	(24324837, 24324863)	(24324837, 24324863)
NPY2R	P1P2	chr4	+	CAGE, matched peaks	(156129778, 156129804)	(156129991, 156130013)
NQO1	P1	chr16	-	CAGE, matched peaks	(69760453, 69760476)	(69760453, 69760476)
NQO1	P2	chr16	-	CAGE, matched peaks	(69752391, 69752446)	(69752391, 69752446)
NQO2	P1P2	chr6	+	CAGE, matched peaks	(3000057, 3000118)	(3000119, 3000136)
NR0B1	P1P2	chrX	-	CAGE, matched peaks	(30327504, 30327509)	(30326723, 30326738)
NR0B2	P1P2	chr1	-	CAGE, matched peaks	(27240455, 27240474)	(27240361, 27240377)
NR1D1	P1P2	chr17	-	CAGE, matched peaks	(38256822, 38256851)	(38256877, 38256900)
NR1D2	P1P2	chr3	+	CAGE, matched peaks	(23986762, 23986821)	(23986824, 23986848)
NR1H2	P1P2	chr19	+	CAGE, matched peaks	(50879705, 50879775)	(50879683, 50879695)
NR1H3	P1	chr11	+	CAGE, matched peaks	(47279504, 47279563)	(47279504, 47279563)
NR1H3	P2	chr11	+	CAGE, matched peaks	(47270436, 47270464)	(47270436, 47270464)
NR1H4	P1P2	chr12	+	CAGE, matched peaks	(100867627, 100867652)	(100867653, 100867677)
NR1I2	P1P2	chr3	+	CAGE, matched peaks	(119500941, 119500961)	(119500891, 119500904)
NR1I3	P1P2	chr1	-	CAGE, matched peaks	(161208013, 161208038)	(161207986, 161207998)
NR2C1	P1P2	chr12	-	CAGE, matched peaks	(95467267, 95467350)	(95467359, 95467417)
NR2C2	P1P2	chr3	+	CAGE, matched peaks	(14989076, 14989113)	(14989050, 14989069)
NR2C2AP	P1P2	chr19	-	CAGE, matched peaks	(19314162, 19314258)	(19314116, 19314142)
NR2E1	P1P2	chr6	+	CAGE, matched peaks	(108487289, 108487302)	(108487220, 108487236)
NR2E3	P1P2	chr15	+	CAGE, matched peaks	(72102881, 72102925)	(72102951, 72102966)
NR2F1	P1P2	chr5	+	CAGE, matched peaks	(92918919, 92918942)	(92918894, 92918912)
NR2F2	P1P2	chr15	+	CAGE, matched peaks	(96873921, 96873946)	(96874012, 96874042)
NR2F6	P1P2	chr19	-	CAGE, matched peaks	(17356697, 17356762)	(17356189, 17356221)
NR3C1	P1P2	chr5	-	CAGE, matched peaks	(142783175, 142783297)	(142784003, 142784065)
NR3C2	P1P2	chr4	-	CAGE, matched peaks	(149363494, 149363543)	(149363475, 149363492)
NR4A1	P1P2	chr12	+	CAGE, matched peaks	(52445218, 52445237)	(52445218, 52445237)
NR4A2	P1	chr2	-	CAGE, matched peaks	(157189180, 157189290)	(157189180, 157189290)
NR4A2	P2	chr2	-	CAGE, matched peaks	(157198916, 157198978)	(157198916, 157198978)
NR4A3	P1P2	chr9	+	CAGE, matched peaks	(102584262, 102584276)	(102584159, 102584174)
NR5A1	P1P2	chr9	-	CAGE, matched peaks	(127269661, 127269719)	(127269462, 127269484)
NR5A2	P1	chr1	+	CAGE, matched peaks	(199996733, 199996781)	(199996733, 199996781)
NR5A2	P2	chr1	+	CAGE, matched peaks	(200008734, 200008765)	(200008734, 200008765)
NR6A1	P1P2	chr9	-	CAGE, matched peaks	(127533582, 127533615)	(127533519, 127533573)
NRAP	P1	chr10	-	CAGE, matched peaks	(115423792, 115423806)	(115423792, 115423806)
NRAP	P2	chr10	-	CAGE, matched peaks	(115409857, 115409868)	(115409857, 115409868)
NRARP	P1P2	chr9	-	CAGE, matched peaks	(140196716, 140196744)	(140196195, 140196235)
NRAS	P1P2	chr1	-	CAGE, matched peaks	(115259337, 115259407)	(115260100, 115260128)
NRBF2	P1P2	chr10	+	CAGE, matched peaks	(64893039, 64893128)	(64893130, 64893144)
NRBP1	P1P2	chr2	+	CAGE, matched peaks	(27651478, 27651507)	(27651519, 27651539)
NRBP2	P1P2	chr8	-	CAGE, matched peaks	(144923112, 144923168)	(144923214, 144923286)
NRCAM	P1P2	chr7	-	CAGE, matched peaks	(108096822, 108096889)	(108096770, 108096784)
NRD1	P1P2	chr1	-	CAGE, matched peaks	(52344384, 52344413)	(52344384, 52344413)
NRDE2	P1P2	chr14	-	CAGE, matched peaks	(90798273, 90798323)	(90798332, 90798351)
NRF1	P1P2	chr7	+	CAGE, matched peaks	(129251531, 129251601)	(129251614, 129251630)
NRG1	P1P2	chr8	+	CAGE, matched peaks	(32405821, 32405841)	(32405821, 32405841)
NRG2	P1P2	chr5	-	CAGE, matched peaks	(139422833, 139422898)	(139422833, 139422898)
NRGN	P1P2	chr11	+	CAGE, matched peaks	(124609823, 124609869)	(124609805, 124609817)
NRIP1	P1P2	chr21	-	CAGE, matched peaks	(16437293, 16437340)	(16437347, 16437360)
NRIP2	P1P2	chr12	-	CAGE, matched peaks	(2944184, 2944209)	(2944184, 2944209)
NRIP3	P1P2	chr11	-	CAGE, matched peaks	(9025541, 9025555)	(9025541, 9025555)
NRK	P1P2	chrX	+	CAGE, matched peaks	(105066524, 105066552)	(105066499, 105066514)
NRL	P1	chr14	-	CAGE, matched peaks	(24553835, 24553850)	(24553835, 24553850)
NRL	P2	chr14	-	CAGE, matched peaks	(24584138, 24584192)	(24584138, 24584192)
NRM	P1P2	chr6	-	CAGE, matched peaks	(30658745, 30658786)	(30658745, 30658786)
NRN1	P1	chr6	-	CAGE, matched peaks	(6007111, 6007181)	(6007111, 6007181)
NRN1	P2	chr6	-	CAGE, matched peaks	(6004273, 6004340)	(6004273, 6004340)
NRN1L	P1P2	chr16	+	CAGE, matched peaks	(67918770, 67918820)	(67918763, 67918768)
NRP1	P1P2	chr10	-	CAGE, matched peaks	(33623784, 33623806)	(33623574, 33623603)
NRP2	P1P2	chr2	+	CAGE, matched peaks	(206547215, 206547232)	(206547166, 206547186)
NRROS	P1P2	chr3	+	CAGE, matched peaks	(196366616, 196366690)	(196366555, 196366572)
NRSN1	P1P2	chr6	+	CAGE, matched peaks	(24126427, 24126497)	(24126427, 24126497)
NRSN2	P1P2	chr20	+	CAGE, matched peaks	(327736, 327767)	(327413, 327489)
NRTN	all	chr19	+	Annotation	(5823812.0, 5823812.0)	(5823812.0, 5823812.0)
NSA2	P1P2	chr5	+	CAGE, matched peaks	(74063059, 74063089)	(74063120, 74063131)
NSD1	P1P2	chr5	+	CAGE, matched peaks	(176560742, 176560826)	(176560595, 176560620)
NSDHL	P1P2	chrX	+	CAGE, matched peaks	(151999599, 151999615)	(151999535, 151999561)
NSF	all	chr17	+	Annotation	(44668034.0, 44668034.0)	(44668034.0, 44668034.0)
NSFL1C	P1P2	chr20	-	CAGE, matched peaks	(1447467, 1447501)	(1447547, 1447564)
NSL1	P1P2	chr1	-	CAGE, matched peaks	(212965104, 212965141)	(212965104, 212965141)
NSMAF	P1P2	chr8	-	CAGE, matched peaks	(59572301, 59572435)	(59572237, 59572296)
NSMCE1	P1P2	chr16	-	CAGE, matched peaks	(27280050, 27280101)	(27280050, 27280101)
NSMCE2	P1P2	chr8	+	CAGE, matched peaks	(126104076, 126104117)	(126104060, 126104071)
NSMCE4A	P1P2	chr10	-	CAGE, matched peaks	(123734683, 123734738)	(123734766, 123734779)
NSMF	P1P2	chr9	-	CAGE, matched peaks	(140353748, 140353795)	(140353799, 140353811)
NSRP1	P1P2	chr17	+	CAGE, matched peaks	(28443819, 28443856)	(28443802, 28443813)
NSUN2	P1P2	chr5	-	CAGE, matched peaks	(6633114, 6633204)	(6633397, 6633445)
NSUN3	P1P2	chr3	+	CAGE, matched peaks	(93781818, 93781915)	(93781920, 93781933)
NSUN4	P1P2	chr1	+	CAGE, matched peaks	(46806452, 46806496)	(46806383, 46806450)
NSUN5	P1P2	chr7	-	CAGE, matched peaks	(72722783, 72722837)	(72722849, 72722862)
NSUN6	P1P2	chr10	-	CAGE, matched peaks	(18940501, 18940583)	(18940468, 18940489)
NT5C	P1P2	chr17	-	CAGE, matched peaks	(73127826, 73127883)	(73127808, 73127821)
NT5C1A	P1P2	chr1	-	CAGE, matched peaks	(40137752, 40137824)	(40137922, 40137962)
NT5C1B	P1P2	chr2	-	CAGE, matched peaks	(18770813, 18770839)	(18770813, 18770839)
NT5C1B-RDH14	P1P2	chr2	-	CAGE, matched peaks	(18770813, 18770839)	(18770813, 18770839)
NT5C2	P1P2	chr10	-	CAGE, matched peaks	(104953009, 104953061)	(104953009, 104953061)
NT5C3A	P1	chr7	-	CAGE, matched peaks	(33102338, 33102395)	(33102338, 33102395)
NT5C3A	P2	chr7	-	CAGE, matched peaks	(33080506, 33080528)	(33080506, 33080528)
NT5DC1	P1P2	chr6	+	CAGE, matched peaks	(116421976, 116422054)	(116421976, 116422054)
NT5DC2	P1P2	chr3	-	CAGE, matched peaks	(52567819, 52567884)	(52567747, 52567788)
NT5DC3	P1P2	chr12	-	CAGE, matched peaks	(104234989, 104235022)	(104235025, 104235067)
NT5E	P1P2	chr6	+	CAGE, matched peaks	(86159765, 86159820)	(86159821, 86159839)
NT5M	P1P2	chr17	+	CAGE, matched peaks	(17206635, 17206705)	(17206718, 17206744)
NTAN1	P1P2	chr16	-	CAGE, matched peaks	(15149828, 15149912)	(15149917, 15149946)
NTF3	P1P2	chr12	+	CAGE, matched peaks	(5541267, 5541285)	(5541253, 5541258)
NTF4	ENST00000301411.3	chr19	-	Annotation	(49567123.0, 49567123.0)	(49567123.0, 49567123.0)
NTF4	ENST00000593537.1	chr19	-	Annotation	(49565253.0, 49565253.0)	(49565253.0, 49565253.0)
NTHL1	P1P2	chr16	-	CAGE, matched peaks	(2097807, 2097856)	(2097735, 2097752)
NTMT1	P1P2	chr9	+	CAGE, matched peaks	(132388423, 132388477)	(132388566, 132388581)
NTN1	P1P2	chr17	+	CAGE, matched peaks	(8924820, 8924832)	(8924897, 8924916)
NTN3	P1P2	chr16	+	CAGE, matched peaks	(2521286, 2521310)	(2521470, 2521487)
NTNG1	P1	chr1	+	CAGE, matched peaks	(107682694, 107682765)	(107682694, 107682765)
NTNG1	P2	chr1	+	CAGE, matched peaks	(107683775, 107683816)	(107683775, 107683816)
NTNG2	P1P2	chr9	+	CAGE, matched peaks	(135037060, 135037134)	(135037060, 135037134)
NTPCR	P1P2	chr1	+	CAGE, matched peaks	(233086326, 233086415)	(233086304, 233086325)
NTRK1	P1P2	chr1	+	CAGE, matched peaks	(156830650, 156830666)	(156830678, 156830696)
NTRK2	P1P2	chr9	+	CAGE, matched peaks	(87284675, 87284698)	(87284675, 87284698)
NTRK3	P1P2	chr15	-	CAGE, matched peaks	(88799948, 88799977)	(88799926, 88799941)
NTS	P1P2	chr12	+	CAGE, matched peaks	(86268065, 86268080)	(86268065, 86268080)
NTSR1	P1P2	chr20	+	CAGE, matched peaks	(61340179, 61340195)	(61340152, 61340173)
NTSR2	P1P2	chr2	-	CAGE, matched peaks	(11810312, 11810327)	(11810312, 11810327)
NUAK1	P1P2	chr12	-	CAGE, matched peaks	(106532724, 106532740)	(106532724, 106532740)
NUAK2	P1P2	chr1	-	CAGE, matched peaks	(205290865, 205290891)	(205290865, 205290891)
NUB1	P1P2	chr7	+	CAGE, matched peaks	(151038850, 151038915)	(151038789, 151038800)
NUBP1	P1P2	chr16	+	CAGE, matched peaks	(10837670, 10837714)	(10837670, 10837714)
NUBP2	P1P2	chr16	+	CAGE, matched peaks	(1832923, 1833008)	(1832771, 1832772)
NUBPL	P1P2	chr14	+	CAGE, matched peaks	(32030582, 32030661)	(32030694, 32030714)
NUCB1	P1P2	chr19	+	CAGE, matched peaks	(49403562, 49403614)	(49403530, 49403543)
NUCB2	P1P2	chr11	+	CAGE, matched peaks	(17298297, 17298341)	(17298255, 17298296)
NUCKS1	P1P2	chr1	-	CAGE, matched peaks	(205719295, 205719353)	(205719122, 205719157)
NUDC	P1P2	chr1	+	CAGE, matched peaks	(27248203, 27248288)	(27248294, 27248308)
NUDCD1	P1P2	chr8	-	CAGE, matched peaks	(110346270, 110346365)	(110346254, 110346265)
NUDCD2	P1P2	chr5	-	CAGE, matched peaks	(162887071, 162887166)	(162887054, 162887067)
NUDCD3	P1P2	chr7	-	CAGE, matched peaks	(44530208, 44530263)	(44530394, 44530452)
NUDT1	P1P2	chr7	+	CAGE, matched peaks	(2281843, 2281869)	(2281882, 2281901)
NUDT12	P1P2	chr5	-	CAGE, matched peaks	(102898465, 102898518)	(102898443, 102898460)
NUDT13	P1P2	chr10	+	CAGE, matched peaks	(74870253, 74870287)	(74870206, 74870219)
NUDT14	P1P2	chr14	-	CAGE, matched peaks	(105647606, 105647657)	(105647577, 105647582)
NUDT15	P1P2	chr13	+	CAGE, matched peaks	(48611829, 48611904)	(48611919, 48611930)
NUDT16	P1P2	chr3	+	CAGE, matched peaks	(131100600, 131100654)	(131100600, 131100654)
NUDT16L1	P1P2	chr16	+	CAGE, matched peaks	(4743707, 4743728)	(4743688, 4743706)
NUDT17	P1P2	chr1	-	CAGE, matched peaks	(145589424, 145589471)	(145589089, 145589106)
NUDT18	P1P2	chr8	-	CAGE, matched peaks	(21966893, 21966957)	(21966873, 21966887)
NUDT19	P1P2	chr19	+	CAGE, matched peaks	(33182691, 33182774)	(33182823, 33182845)
NUDT2	P1P2	chr9	+	CAGE, matched peaks	(34329543, 34329593)	(34329543, 34329593)
NUDT21	P1P2	chr16	-	CAGE, matched peaks	(56485228, 56485251)	(56485257, 56485268)
NUDT22	P1P2	chr11	+	CAGE, matched peaks	(63993738, 63993778)	(63993779, 63993796)
NUDT3	P1P2	chr6	-	CAGE, matched peaks	(34360413, 34360453)	(34360344, 34360382)
NUDT4	P1P2	chr12	+	CAGE, matched peaks	(93771692, 93771710)	(93772346, 93772384)
NUDT5	P1P2	chr10	-	CAGE, matched peaks	(12237836, 12237900)	(12237820, 12237834)
NUDT6	P1P2	chr4	-	CAGE, matched peaks	(123843707, 123843766)	(123844084, 123844134)
NUDT7	P1P2	chr16	+	CAGE, matched peaks	(77756399, 77756444)	(77756370, 77756383)
NUDT8	P1P2	chr11	-	CAGE, matched peaks	(67397371, 67397416)	(67397371, 67397416)
NUDT9	P1P2	chr4	+	CAGE, matched peaks	(88343717, 88343800)	(88343997, 88344042)
NUF2	P1P2	chr1	+	CAGE, matched peaks	(163291732, 163291812)	(163291814, 163291855)
NUFIP1	P1P2	chr13	-	CAGE, matched peaks	(45563571, 45563620)	(45563624, 45563631)
NUFIP2	P1P2	chr17	-	CAGE, matched peaks	(27621125, 27621143)	(27621159, 27621172)
NUGGC	P1P2	chr8	-	CAGE, matched peaks	(27941428, 27941459)	(27941380, 27941403)
NUMA1	all	chr11	-	CAGE, robust peak	(71791726, 71791756)	(71791518, 71791605)
NUMB	P1	chr14	-	CAGE, matched peaks	(73925225, 73925293)	(73925225, 73925293)
NUMB	P2	chr14	-	CAGE, matched peaks	(73930324, 73930350)	(73930324, 73930350)
NUMBL	P1P2	chr19	-	CAGE, matched peaks	(41196534, 41196568)	(41196498, 41196532)
NUP107	P1P2	chr12	+	CAGE, matched peaks	(69080734, 69080808)	(69080734, 69080808)
NUP133	P1P2	chr1	-	CAGE, matched peaks	(229644034, 229644123)	(229644364, 229644370)
NUP153	P1P2	chr6	-	CAGE, matched peaks	(17707083, 17707173)	(17706978, 17707056)
NUP155	P1P2	chr5	-	CAGE, matched peaks	(37371163, 37371231)	(37371163, 37371231)
NUP160	P1P2	chr11	-	CAGE, matched peaks	(47869866, 47869914)	(47870091, 47870121)
NUP188	P1P2	chr9	+	CAGE, matched peaks	(131709966, 131710000)	(131709966, 131710000)
NUP205	P1P2	chr7	+	CAGE, matched peaks	(135242652, 135242689)	(135242652, 135242689)
NUP210	P1P2	chr3	-	CAGE, matched peaks	(13461724, 13461800)	(13461807, 13461857)
NUP210L	P1P2	chr1	-	CAGE, matched peaks	(154127518, 154127560)	(154127518, 154127560)
NUP214	P1P2	chr9	+	CAGE, matched peaks	(134000965, 134001043)	(134000965, 134001043)
NUP35	P1P2	chr2	+	CAGE, matched peaks	(183989157, 183989179)	(183989115, 183989151)
NUP37	P1P2	chr12	-	CAGE, matched peaks	(102513843, 102513908)	(102514027, 102514036)
NUP43	P1P2	chr6	-	CAGE, matched peaks	(150067632, 150067693)	(150067696, 150067697)
NUP50	P1P2	chr22	+	CAGE, matched peaks	(45559791, 45559834)	(45559791, 45559834)
NUP54	P1P2	chr4	-	CAGE, matched peaks	(77069533, 77069563)	(77069573, 77069592)
NUP62	P1P2	chr19	-	CAGE, matched peaks	(50432711, 50432778)	(50432654, 50432702)
NUP62CL	P1P2	chrX	-	CAGE, matched peaks	(106449656, 106449675)	(106449636, 106449652)
NUP85	P1P2	chr17	+	CAGE, matched peaks	(73201760, 73201840)	(73201632, 73201643)
NUP88	P1P2	chr17	-	CAGE, matched peaks	(5322967, 5322998)	(5322967, 5322998)
NUP93	P1P2	chr16	+	CAGE, matched peaks	(56764022, 56764098)	(56764022, 56764098)
NUP98	P1P2	chr11	-	CAGE, matched peaks	(3818756, 3818793)	(3818932, 3819007)
NUPL1	P1P2	chr13	+	CAGE, matched peaks	(25875755, 25875782)	(25875786, 25875808)
NUPL2	P1P2	chr7	+	CAGE, matched peaks	(23221613, 23221692)	(23221588, 23221611)
NUPR1	P1P2	chr16	-	CAGE, matched peaks	(28550272, 28550303)	(28550320, 28550345)
NUS1	P1P2	chr6	+	CAGE, matched peaks	(117996621, 117996640)	(117996596, 117996601)
NUSAP1	P1P2	chr15	+	CAGE, matched peaks	(41625060, 41625088)	(41625060, 41625088)
NUTF2	P1P2	chr16	+	CAGE, matched peaks	(67880820, 67880844)	(67880779, 67880790)
NUTM1	P1P2	chr15	+	CAGE, matched peaks	(34635228, 34635245)	(34635228, 34635245)
NUTM2A	all	chr10	+	Annotation	(88985204.0, 88985204.0)	(88985204.0, 88985204.0)
NVL	P1P2	chr1	-	CAGE, matched peaks	(224517832, 224517896)	(224518117, 224518127)
NXF1	P1	chr11	-	CAGE, matched peaks	(62572901, 62572919)	(62572901, 62572919)
